scope,Complexity,metric,Big_mean,Small_mean,n_big,n_small,U,p,cliffs_delta(Big-Small)
overall,ALL,syntax_ok_rate,0.7113636363636363,0.7901515151515152,12,12,63.0,0.6196962985053818,-0.125
overall,ALL,satisfiable_rate,0.6143939393939394,0.6358585858585858,12,12,69.0,0.8850102751402341,-0.041666666666666664
overall,ALL,deterministic_rate,0.7113636363636363,0.7901515151515152,12,12,63.0,0.6196962985053818,-0.125
overall,ALL,h1_overall,0.8566295627047115,0.9469157454648527,12,12,54.0,0.3060352331712999,-0.25
within_complexity,Simple,syntax_ok_rate,0.75,0.875,4,4,4.5,0.3561703279493218,-0.4375
within_complexity,Simple,satisfiable_rate,0.625,0.7916666666666666,4,4,3.5,0.24252556197857178,-0.5625
within_complexity,Simple,deterministic_rate,0.75,0.875,4,4,4.5,0.3561703279493218,-0.4375
within_complexity,Simple,h1_overall,0.98875,0.9871527777777778,4,4,9.0,0.8686610629910667,0.125
within_complexity,Moderate,syntax_ok_rate,0.6590909090909091,0.7954545454545454,4,4,6.5,0.7659548296512902,-0.1875
within_complexity,Moderate,satisfiable_rate,0.5681818181818182,0.5909090909090909,4,4,8.5,1.0,0.0625
within_complexity,Moderate,deterministic_rate,0.6590909090909091,0.7954545454545454,4,4,6.5,0.7659548296512902,-0.1875
within_complexity,Moderate,h1_overall,0.7107928240740741,0.9811135912698413,4,4,2.5,0.14648918393520854,-0.6875
within_complexity,Complex,syntax_ok_rate,0.7250000000000001,0.7,4,4,8.5,1.0,0.0625
within_complexity,Complex,satisfiable_rate,0.65,0.525,4,4,11.0,0.46512378882022054,0.375
within_complexity,Complex,deterministic_rate,0.7250000000000001,0.7,4,4,8.5,1.0,0.0625
within_complexity,Complex,h1_overall,0.8703458640400604,0.8724808673469389,4,4,7.5,1.0,-0.0625
